,p-value,Score,Cluster,Value
negative regulation of innate immune response (GO:0045824),3.39E-03,183.75,2,"4 up, 0 down"
positive regulation of protein tyrosine kinase activity (GO:0061098),5.24E-03,175.95,1,"4 up, 0 down"
cytokine-mediated signaling pathway (GO:0019221),5.25E-08,172.99,1,"21 up, 0 down"
response to cytokine (GO:0034097),3.26E-05,163.50,2,"9 up, 0 down"
cellular response to chemokine (GO:1990869),1.91E-03,157.23,2,"5 up, 0 down"
response to lipopolysaccharide (GO:0032496),4.95E-05,148.51,2,"9 up, 0 down"
toll-like receptor signaling pathway (GO:0002224),1.88E-03,145.11,1,"6 up, 0 down"
regulation of peptidyl-tyrosine phosphorylation (GO:0050730),1.88E-03,142.61,1,"6 up, 0 down"
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844),2.27E-03,142.07,2,"5 up, 0 down"
regulation of innate immune response (GO:0045088),2.27E-03,142.07,2,"5 up, 0 down"
neutrophil chemotaxis (GO:0030593),4.12E-03,138.64,1,"5 up, 0 down"
cellular response to molecule of bacterial origin (GO:0071219),5.00E-04,130.97,2,"7 up, 0 down"
granulocyte chemotaxis (GO:0071621),4.42E-03,129.79,1,"5 up, 0 down"
cellular response to cytokine stimulus (GO:0071345),1.08E-06,126.01,2,"16 up, 1 down"
regulation of interferon-beta production (GO:0032648),6.92E-03,123.91,2,"4 up, 0 down"
neutrophil chemotaxis (GO:0030593),3.22E-03,123.33,2,"5 up, 0 down"
positive regulation of phagocytosis (GO:0050766),9.15E-03,122.92,1,"4 up, 0 down"
regulation of immune effector process (GO:0002697),9.15E-03,122.92,1,"4 up, 0 down"
cellular response to lipopolysaccharide (GO:0071222),5.88E-04,122.19,2,"7 up, 0 down"
negative regulation of viral genome replication (GO:0045071),9.15E-03,119.41,1,"4 up, 0 down"
regulation of humoral immune response (GO:0002920),9.15E-03,119.41,1,"4 up, 0 down"
neutrophil migration (GO:1990266),4.86E-03,119.33,1,"5 up, 0 down"
granulocyte chemotaxis (GO:0071621),3.39E-03,115.38,2,"5 up, 0 down"
response to molecule of bacterial origin (GO:0002237),3.39E-03,115.38,2,"5 up, 0 down"
positive regulation of defense response (GO:0031349),1.89E-03,114.23,2,"6 up, 0 down"
regulation of NIK/NF-kappaB signaling (GO:1901222),5.24E-03,112.32,1,"5 up, 0 down"
innate immune response (GO:0045087),3.26E-05,108.24,2,"12 up, 0 down"
neutrophil migration (GO:1990266),3.97E-03,105.98,2,"5 up, 0 down"
negative regulation of cytokine-mediated signaling pathway (GO:0001960),9.96E-03,103.45,2,"4 up, 0 down"
innate immune response (GO:0045087),7.39E-04,97.71,1,"11 up, 0 down"
positive regulation of inflammatory response (GO:0050729),7.06E-03,94.78,1,"5 up, 0 down"
positive regulation of NF-kappaB transcription factor activity (GO:0051092),3.22E-03,90.82,1,"7 up, 0 down"
response to lipopolysaccharide (GO:0032496),3.48E-03,87.03,1,"7 up, 0 down"
positive regulation of inflammatory response (GO:0050729),6.80E-03,83.96,2,"5 up, 0 down"
positive regulation of defense response (GO:0031349),9.15E-03,81.16,1,"5 up, 0 down"
cellular response to interferon-gamma (GO:0071346),3.76E-03,80.88,2,"6 up, 0 down"
positive regulation of DNA-binding transcription factor activity (GO:0051091),1.88E-03,80.67,1,"9 up, 0 down"
regulation of inflammatory response (GO:0050727),2.81E-03,79.86,1,"8 up, 0 down"
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731),6.10E-03,77.47,1,"6 up, 0 down"
defense response to bacterium (GO:0042742),4.42E-03,73.28,1,"7 up, 0 down"
positive regulation of response to external stimulus (GO:0032103),6.86E-03,72.88,1,"6 up, 0 down"
regulation of inflammatory response (GO:0050727),2.22E-03,69.79,2,"7 up, 1 down"
inflammatory response (GO:0006954),4.12E-03,65.90,1,"8 up, 0 down"
response to cytokine (GO:0034097),9.15E-03,64.12,1,"6 up, 0 down"
positive regulation of response to external stimulus (GO:0032103),6.80E-03,64.09,2,"6 up, 0 down"
positive regulation of protein phosphorylation (GO:0001934),4.12E-03,51.24,1,"10 up, 0 down"
positive regulation of cytokine production (GO:0001819),6.33E-03,46.05,1,"9 up, 0 down"
cellular response to oxygen-containing compound (GO:1901701),5.66E-03,42.53,2,"9 up, 0 down"
positive regulation of intracellular signal transduction (GO:1902533),4.42E-03,40.98,1,"12 up, 0 down"
cellular response to cytokine stimulus (GO:0071345),5.24E-03,40.63,1,"11 up, 0 down"
